DATE_TIME,UNIQUE_ID
2013-03-10,10134
2013-03-11,29869
2013-03-12,27293
2013-03-13,27864
2013-03-14,24655
2013-03-15,24710
2013-03-16,12239
2013-03-17,10405
2013-03-18,30061
2013-03-19,25749
2013-03-20,25181
2013-03-21,24355
2013-03-22,23847
2013-03-23,11757
2013-03-24,10092
2013-03-25,26035
2013-03-26,25167
2013-03-27,24668
2013-03-28,24687
2013-03-29,22838
2013-03-30,11549
2013-03-31,10125
2013-04-01,26919
2013-04-02,27281
2013-04-03,25996
2013-04-04,25274
2013-04-05,22649
2013-04-06,11636
2013-04-07,9532
2013-04-08,27701
2013-04-09,22422
2013-04-10,26483
2013-04-11,24999
2013-04-12,24575
2013-04-13,12299
2013-04-14,9760
2013-04-15,20955
2013-04-16,25404
2013-04-17,24189
2013-04-18,23641
2013-04-19,22245
2013-04-20,11353
2013-04-21,10101
2013-04-22,27393
2013-04-23,26132
2013-04-24,24269
2013-04-25,25131
2013-04-26,23116
2013-04-27,12296
2013-04-28,10278
2013-04-29,28604
2013-04-30,25394
2013-05-01,25992
2013-05-02,25315
2013-05-03,22886
2013-05-04,12577
2013-05-05,10785
2013-05-06,27772
2013-05-07,25283
2013-05-08,24420
2013-05-09,22974
2013-05-10,22245
2013-05-11,11595
2013-05-12,9175
2013-05-13,27449
2013-05-14,25638
2013-05-15,24327
2013-05-16,23148
2013-05-17,22716
2013-05-18,12129
2013-05-19,9693
2013-05-20,27356
2013-05-21,25877
2013-05-22,25097
2013-05-23,23533
2013-05-24,20738
2013-05-25,10816
2013-05-26,9361
2013-05-27,12405
2013-05-28,26786
2013-05-29,26114
2013-05-30,25204
2013-05-31,23140
2013-06-01,12702
2013-06-02,10650
2013-06-03,27285
2013-06-04,27562
2013-06-05,26491
2013-06-06,24295
2013-06-07,23466
2013-06-08,12767
2013-06-09,10867
2013-06-10,27243
2013-06-11,28102
2013-06-12,27697
2013-06-13,25524
2013-06-14,24519
2013-06-15,12030
2013-06-16,9273
2013-06-17,29321
2013-06-18,28636
2013-06-19,27618
2013-06-20,27030
2013-06-21,24254
2013-06-22,12372
2013-06-23,10226
2013-06-24,30049
2013-06-25,29230
2013-06-26,27491
2013-06-27,28382
2013-06-28,25870
2013-06-29,12499
2013-06-30,10828
2013-07-01,30530
2013-07-02,27709
2013-07-03,27508
2013-07-04,14457
2013-07-05,23559
2013-07-06,12711
2013-07-07,11011
2013-07-08,31518
2013-07-09,28709
2013-07-10,28234
2013-07-11,26659
2013-07-12,23715
2013-07-13,12173
2013-07-14,10639
2013-07-15,30967
2013-07-16,28462
2013-07-17,27234
2013-07-18,27183
2013-07-19,25413
2013-07-20,12868
2013-07-21,11401
2013-07-22,29463
2013-07-23,28311
2013-07-24,26528
2013-07-25,24007
2013-07-26,23714
2013-07-27,10898
2013-07-28,9271
2013-07-29,29339
2013-07-30,27488
2013-07-31,26866
2013-08-01,23497
2013-08-02,22927
2013-08-03,11087
2013-08-04,9323
2013-08-05,28679
2013-08-06,25875
2013-08-07,24531
2013-08-08,23739
2013-08-09,22404
2013-08-10,10889
2013-08-11,9265
2013-08-12,28097
2013-08-13,26243
2013-08-14,25504
2013-08-15,24246
2013-08-16,23063
2013-08-17,9995
2013-08-18,9339
2013-08-19,27877
2013-08-20,26460
2013-08-21,25239
2013-08-22,24629
2013-08-23,22825
2013-08-24,10519
2013-08-25,9185
2013-08-26,28079
2013-08-27,26850
2013-08-28,25334
2013-08-29,24826
2013-08-30,22223
2013-08-31,10618
2013-09-01,8753
2013-09-02,12049
2013-09-03,29691
2013-09-04,27044
2013-09-05,26242
2013-09-06,21821
2013-09-07,10615
2013-09-08,9503
2013-09-09,31249
2013-09-10,30795
2013-09-11,25083
2013-09-12,25361
2013-09-13,21903
2013-09-14,10336
2013-09-15,8878
2013-09-16,26242
2013-09-17,24386
2013-09-18,24134
2013-09-19,21727
2013-09-20,17347
2013-09-21,11358
2013-09-22,9292
2013-09-23,17944
2013-09-24,26306
2013-09-25,24743
2013-09-26,23376
2013-09-27,21805
2013-09-28,11201
2013-09-29,9789
2013-09-30,28516
2013-10-01,28379
2013-10-02,25872
2013-10-03,24257
2013-10-04,20306
2013-10-05,11307
2013-10-06,8961
2013-10-07,26811
2013-10-08,25686
2013-10-09,25302
2013-10-10,24281
2013-10-11,21700
2013-10-12,11594
2013-10-13,10055
2013-10-14,19229
2013-10-15,27611
2013-10-16,24976
2013-10-17,23351
2013-10-18,20834
2013-10-19,11646
2013-10-20,9052
2013-10-21,27101
2013-10-22,23693
2013-10-23,24616
2013-10-24,25019
2013-10-25,23360
2013-10-26,11628
2013-10-27,9519
2013-10-28,27042
2013-10-29,25829
2013-10-30,24448
2013-10-31,22487
2013-11-01,22614
2013-11-02,12217
2013-11-03,12728
2013-11-04,31791
2013-11-05,32683
2013-11-06,23839
2013-11-07,21997
2013-11-08,22566
2013-11-09,11225
2013-11-10,11398
2013-11-11,20266
2013-11-12,26319
2013-11-13,25547
2013-11-14,24018
2013-11-15,21363
2013-11-16,11463
2013-11-17,8358
2013-11-18,27945
2013-11-19,26345
2013-11-20,24084
2013-11-21,23599
2013-11-22,21144
2013-11-23,11347
2013-11-24,10479
2013-11-25,28455
2013-11-26,24688
2013-11-27,23408
2013-11-28,13459
2013-11-29,18555
2013-11-30,11538
2013-12-01,11383
2013-12-02,29019
2013-12-03,27480
2013-12-04,25389
2013-12-05,24742
2013-12-06,22254
2013-12-07,11590
2013-12-08,10232
2013-12-09,28144
2013-12-10,27611
2013-12-11,25421
2013-12-12,23648
2013-12-13,21380
2013-12-14,12307
2013-12-15,11293
2013-12-16,27203
2013-12-17,25176
2013-12-18,24274
2013-12-19,22482
2013-12-20,19465
2013-12-21,9598
2013-12-22,8704
2013-12-23,25498
2013-12-24,17943
2013-12-25,9074
2013-12-26,22038
2013-12-27,20087
2013-12-28,11132
2013-12-29,10034
2013-12-30,25931
2013-12-31,19463
2014-01-01,14235
2014-01-02,33434
2014-01-03,30154
2014-01-04,14109
2014-01-05,14139
2014-01-06,33067
2014-01-07,30637
2014-01-08,29733
2014-01-09,26808
2014-01-10,24393
2014-01-11,12869
2014-01-12,10232
2014-01-13,26517
2014-01-14,24642
2014-01-15,24889
2014-01-16,24374
2014-01-17,22634
2014-01-18,11336
2014-01-19,10798
2014-01-20,18731
2014-01-21,41537
2014-01-22,33392
2014-01-23,30454
2014-01-24,26024
2014-01-25,12836
2014-01-26,10458
2014-01-27,29598
2014-01-28,26560
2014-01-29,26047
2014-01-30,24419
2014-01-31,21173
2014-02-01,11419
2014-02-02,10536
2014-02-03,32168
2014-02-04,28523
2014-02-05,30158
2014-02-06,27846
2014-02-07,24810
2014-02-08,11511
